semester,gender,collegeYear,height,weight,pulse,hsGPA,collegeGPA,SATM,SATV,shoeSize,fincialAid,tvHours,states,siblings,motherAge,fatherAge,salary
1,M,3,76,185,,3.1,3.3,,,13,Y,0,18,1,48,48,26000
1,M,2,71,185,55,3.2,,640,640,11,N,0,,1,48,57,45000
1,F,2,69,,,3.7,3.5,510,580,9.5,N,1,20,1,49,52,40000
1,F,2,68,130,78,3.995,3.34,710,620,7.5,Y,1,6,3,45,54,30000
1,F,1,63,110,,3.68,,640,490,7.5,N,2,6,1,46,49,
1,M,1,74,175,,3,,,,13,Y,9,30,0,60,63,
1,F,3,69.5,145,,3.9,3.8,,,9,Y,1,5,1,52,52,
1,F,2,64,120.5,,3.975,3.7,600,640,7.5,Y,1,5,1,52,56,10000
1,F,3,65,145,,3.6,3,,,9,Y,1,10,8,42,50,20000
1,F,1,68,140,,3.991,,,,8.5,Y,2,15,2,47,50,30000
1,M,4,72,190,,3.5,3.3,700,600,10.5,Y,0,20,3,45,50,20000
1,F,3,62,124,60,3.98,3.57,660,700,6,Y,1,10,1,54,59,35000
1,F,1,66,115,,3.84,,610,650,6,Y,2,7,1,46,53,50000
1,F,2,66,120,,3.6,3.9,620,450,6.5,Y,2,20,1,45,46,
1,M,2,67,128,,,,580,590,10.5,Y,2,3,4,45,46,
1,F,2,65,135,,3.2,3,,,8.5,Y,1,48,2,56,56,20000
1,F,3,72,167,,3.4,,,,10,N,7,7,1,48,50,
1,M,4,77,225,80,3.5,2.41,720,580,12,Y,20,16,0,51,56,30000
1,M,1,73,225,72,3.14,,540,650,12,Y,7,17,2,53,58,43500
1,F,2,66,,40,3.8,2.4,550,550,10,Y,1,5,3,46,47,30000
1,M,1,72,165,92,3,,500,550,12,Y,3,3,4,49,49,40000
1,F,1,68,123,64,3,,550,540,10,N,3,8,1,55,55,25000
1,M,2,66,148,64,3.6,3.25,770,610,9.5,Y,15,8,2,54,56,40000
1,M,1,70,155,64,3.5,,,,10.5,Y,0,7,2,42,45,30000
1,F,2,67,135,88,4,3.5,680,610,7,Y,5,47,1,42,49,35000
1,F,1,66.5,115,100,3.98,,660,,8,Y,5,20,1,50,54,20000
1,M,1,71,180,88,3.5,,590,650,11,Y,5,14,2,51,49,30000
1,M,1,70,135,52,3.4,,640,640,9.5,Y,3,25,1,50,52,
1,F,1,66,135,72,3.5,,,,8,Y,,15,0,51,50,30000
1,F,1,68,150,80,3.6,,,,10,Y,5,35,2,47,59,37000
1,F,1,70,130,80,3.75,,560,560,9,Y,0,10,1,52,52,
1,M,2,75,205,68,3,2.6,620,650,13,N,8,10,4,46,46,40000
1,M,1,69,190,64,3.4,,670,650,11,Y,3,35,2,47,50,1.00E+05
1,M,4,70.75,170,68,3.98,3.45,720,600,12,Y,10,8,1,52,50,37500
1,F,1,69,,56,,,510,680,9.5,Y,1,8,2,45,44,
1,F,1,70,190,72,3.97,,630,640,10,Y,1,11,4,44,46,30000
1,M,4,72,205,72,3.8,3.3,,,12,Y,5,50,2,46,54,60000
1,F,1,70,145,60,3.5,,530,540,10,Y,5,10,2,52,63,40000
1,F,1,63,114,56,3.992,,680,640,6,Y,1,12,2,52,52,35000
1,F,1,71,145,80,3.86,,540,640,9,Y,1,28,1,45,46,30000
1,F,1,65,120,78,3.3,,560,560,7.5,N,2,13,1,51,55,33000
1,M,1,69,148,60,3.86,,630,640,10,Y,0,10,1,53,66,
1,M,2,74,195,60,3.9,3.78,600,600,13,Y,4,12,6,50,52,40000
1,M,4,70,150,60,3.8,3.1,720,660,10,Y,0,10,3,59,59,
1,F,3,62,110,,,,,,6.5,Y,5,,5,51,55,
1,F,2,68,138,80,4,3.4,600,620,8.5,Y,2,18,2,48,,35000
1,M,2,66,140,42,,,,,8,Y,10,2,3,52,50,40000
1,F,3,64,145,60,3.9,,,,6.5,Y,0,39,2,43,43,60000
1,F,2,65,135,60,3.8,3.4,,,8,Y,3,21,1,55,55,
1,F,3,66,140,60,3.6,3.5,,,8,Y,2,12,0,54,54,30000
1,F,3,69,170,60,3.7,2.8,680,660,12,N,0,5,2,45,41,30000
1,F,2,60,105,90,3.99,3.46,570,620,6,Y,1.5,8,3,62,59,30000
1,F,3,64,145,90,3.92,3.56,650,690,8,Y,5,11,1,47,54,30000
1,F,3,65,160,70,3.98,3.44,,,8.5,Y,5,10,1,53,53,30000
1,F,3,63,110,90,3.8,3,600,780,7,Y,0,25,1,46,50,25000
1,F,2,71,160,66,3.6,2.8,,,9.5,N,2,14,2,46,46,
1,F,4,67,117,90,,3.2,,,9,Y,3,37,1,58,54,25000
1,F,2,63,115,60,3.85,3.5,,,6.5,Y,1,17,1,51,51,30000
1,F,2,64,115,100,3.9,,,,8.5,Y,8,16,1,44,47,
1,F,3,64,115,80,3.8,3,,,7.5,Y,0,12,0,50,51,
1,F,2,68,140,60,3.6,3.1,580,640,9,N,3,47,2,54,58,
1,F,4,63,160,60,3.9,3.4,790,530,7,Y,4,6,2,41,40,60000
1,F,1,69,135,60,4,,610,580,10.5,Y,1,10.5,1,51,52,30000
1,F,2,68,132,80,3.98,3.83,650,670,10,Y,4,12,1,50,55,25000
