semester,gender,collegeYear,height,weight,pulse,hsGPA,collegeGPA,SATM,SATV,shoeSize,fincialAid,tvHours,states,siblings,motherAge,fatherAge,salary
2,F,4,67,128,64,4,3.6,600,550,9,Y,0,25,6,49,59,25000
2,M,2,72,155,70,4,3.84,700,690,10,Y,3,17,2,52,57,25000
2,F,1,63,104,,3.8,3.42,600,660,7,Y,4,7,0,37,37,
2,F,3,67.5,125,,3.8,3.75,,,7.5,Y,1,25,0,53,53,25000
2,F,1,63,,,3.75,3,,,7.5,Y,3,9,1,43,41,30000
2,F,2,61,114,,4,3.2,540,550,7.5,Y,2,14,2,48,50,25000
2,F,1,66,125,,3.96,3.92,690,710,7.5,Y,2,5,1,52,53,18000
2,F,1,69,145,60,3.8,3,600,500,9,Y,3,20,1,54,56,20000
2,M,1,,145,120,3.38,3.08,690,650,11,N,3,6,1,46,49,60000
2,M,2,76,230,,3.65,3.56,,,14,Y,8,10,1,52,58,50000
2,F,1,69,,,3.975,3.65,,,9.5,Y,10,25,2,44,45,
2,F,1,68.5,,,3.5,,,,8.5,N,4,15,2,54,55,
2,F,1,67,140,,3.75,3.33,720,670,9.5,Y,3,26,0,51,53,25000
2,M,1,70,155,,3.6,,620,500,10,Y,10,8,1,44,46,15000
2,,2,72,170,60,3.8,3.5,720,650,10,Y,2,20,0,56,59,50000
2,F,2,68.5,130,,3.7,3.4,640,700,8.5,Y,0,17,1,56,56,27500
2,F,3,63,118,70,3.97,2.72,650,690,7,Y,1,10,2,43,47,26000
2,F,1,64,115,100,3.98,,540,530,6.5,Y,8.5,10,3,49,49,45000
2,M,3,80,230,,3.3,3.1,560,640,16,Y,10,17,1,59,56,40000
2,M,1,66,155,,3.3,2.6,600,550,9.5,Y,2,2,1,55,52,
2,F,3,67,135,90,3.4,2.95,660,750,10,N,3,8,1,53,62,30000
2,M,1,67,135,,3.5,3.25,610,610,10,Y,2,3,1,50,47,50000
2,M,1,65,205,,2.8,,550,500,13,N,5,30,1,58,55,1.00E+05
2,F,1,64,150,120,3.85,3.5,650,600,9,Y,2,12,1,43,44,20000
2,M,1,70,146,,3.771,2.33,560,520,10,Y,1.5,5,2,,,30000
2,F,1,70,137,84,3.9,3.41,650,730,9.5,Y,0,12,1,50,50,30000
2,M,1,72,180,85,3.98,3.92,670,650,14,Y,2,15,2,53,52,50000
2,F,1,64,110,,3.8,,,,6,Y,1,17,2,45,,
2,F,1,65,110,110,3.58,2.58,610,560,8,Y,1,7,1,46,54,50000
2,M,1,,270,60,2.79,,580,750,13,N,3,9,1,52,54,23500
2,M,3,71,168,80,3.9,3,,,10,Y,4,40,1,52,53,30000
2,M,5,68,,,3.4,,430,700,15,,2,,2,55,57,1.00E+05
2,M,1,71,190,80,3.5,2.3,720,580,11,Y,6,50,1,50,50,50000
2,F,1,62,135,,3.17,3,640,580,7,Y,0,6,0,39,47,40000
2,M,1,72,135,75,3.6,2.8,680,500,11,Y,0,10,1,46,47,29000
2,F,1,62,100,,,,,,5,N,1,12,0,59,63,
2,M,1,66,180,85,3.2,3.5,730,600,9.5,Y,1,7,1,47,48,30000
2,M,2,67,130,80,4,3,,,9.5,Y,1,10,2,54,55,30000
2,M,4,70,135,75,3.5,3,710,760,10,Y,2,20,1,51,49,20000
2,F,3,69,160,70,3.5,,670,620,10,Y,2,40,1,52,50,30000
2,F,2,64.5,,,3.6,,,,9,Y,1,9,5,,,
2,F,1,65,138,,3.5,2.5,450,550,7.5,N,2,9,1,48,52,50000
2,M,1,72,150,72,2.8,2.8,690,790,9.5,N,0.5,6,1,55,55,20000
2,F,1,64,122,80,3.87,3.42,580,590,8,N,1,10,2,42,,20000
2,F,7,62,113,80,4,3.43,680,640,7,Y,2,9,1,50,50,30000
2,F,1,67,145,180,3.3,2.85,570,600,9,N,3,10,1,49,48,40000
2,M,2,72,180,72,3.67,,710,560,10.5,Y,3,10,5,54,54,30000
2,F,1,67.5,121,70,3.94,,,,9,Y,0,20,1,49,53,
2,F,2,66,125,75,3.75,3.15,590,620,8.5,N,2,26,2,45,44,20000
2,F,4,56,135,76,3.985,3.29,600,440,8,Y,5,15,4,45,47,30000
2,F,4,74,145,90,3.9,3.8,,,11,Y,0.5,20,1,45,49,
2,M,4,67,120,69,3,3,690,710,7.5,Y,15,13,4,37,41,26000
2,F,1,65,135,,3.8,3,550,510,8,Y,1,10,6,47,48,30000
2,F,1,67,140,80,3.3,,550,550,8.5,,5,21,0,43,45,20000
2,F,1,65,150,69,3.75,2.92,,,7,Y,2,11,1,53,53,25000
2,M,2,71,148,70,3.6,2.4,700,650,9,Y,4,20,1,44,53,35000
2,M,1,72,160,48,3.95,3.2,610,530,12.5,Y,1,13,2,47,51,40000
2,F,4,63,135,74,3.9,3.5,720,680,6,Y,2,15,1,50,50,125000
3,F,1,66,116,,3.1,,610,610,8.5,Y,7,5,4,46,46,
3,F,3,63,124,,3.3,2.9,,,8.5,Y,3,9,1,42,45,50000
3,M,1,69,190,66,3.5,,640,550,11,Y,6,20,2,41,43,60000
3,F,1,64.5,123,80,3.85,,560,580,7.5,Y,4,4,0,49,47,20000
3,F,3,66,175,,3.75,3.44,,,8.5,Y,3,13,1,50,52,16000
3,M,3,76,220,,3.5,,,,12,Y,10,6,1,45,53,45000
3,F,1,67,185,,2.5,,560,700,9,N,2,35,4,50,68,25000
3,F,4,64,120,60,3.9,3.5,650,640,6,Y,0,40,2,48,50,40000
3,F,1,66,135,,3.92,,,,8.5,Y,2,16,4,50,59,
3,M,1,73,165,60,3.9,,620,800,12,Y,0,10,2,45,46,12.5
3,M,1,70,165,,4,,600,750,10.5,Y,0,8,1,50,49,
3,F,3,68,130,,3.8,,,,9.5,Y,10,48,1,51,52,30000
3,M,1,77,210,50,3.65,,590,570,14,Y,10,15,1,45,45,75000
3,F,1,63,110,,4.023,,,,6.5,Y,,35,1,46,47,
3,F,3,64,122,,4,3.68,,,8,Y,2,11,1,44,45,10000
3,F,1,67,130,54,3.8,,,,7,Y,5,32,2,54,53,25000
3,F,1,66,165,,3.95,2.95,560,550,10,Y,60,5,2,49,,
3,F,1,64,125,60,3.9,,,,8.75,Y,0,15,1,47,49,30000
3,M,2,73,167,75,,3.17,590,570,10.5,Y,2,21,0,52,54,30000
3,F,1,65,180,,4.1,,630,640,8,Y,2,10,1,48,51,35000
3,F,1,64,115,,3.6,,590,720,6,Y,1,10,3,49,50,
3,F,1,,125,,3.97,,630,600,7.5,Y,,5,1,,,
3,M,1,66,200,,3.51,,,,10,Y,0,4,2,35,38,1.00E+05
3,F,1,64.5,130,,3.9,,,,8,Y,,,,45,49,75000
3,M,1,68,150,60,3.7,,580,600,12,N,15,20,1,45,45,50000
3,M,1,72,200,,3.5,,690,640,12,N,2,30,1,48,48,40000
3,M,1,,200,,3.56,,,,12,Y,2,10,1,41,41,25000
3,M,1,71,205,20,3.2,,580,480,11.5,Y,4,7,1,42,44,40000
3,F,1,66,120,,3.98,,660,600,8.5,Y,5,9,3,43,49,
3,M,1,74,170,,3.9,,520,470,12,Y,4,8,2,44,53,40000
3,M,1,72,180,,3.3,,580,570,12,Y,5,12,2,43,46,45000
3,F,1,64,,,3.67,,640,560,9,Y,1,20,1,43,43,
3,M,1,74,200,,3.4,,460,460,14,Y,2,4,,,,90000
3,F,1,82,130,90,3.4,,600,630,8,Y,3,6,3,40,45,
3,M,1,69,140,,3.1,,550,600,9.5,Y,0,8,1,51,60,
3,F,1,66,140,96,3.5,,,,10,N,3,12,1,51,52,20000
3,M,1,71,165,,3.78,,540,590,10.5,N,6,20,1,43,52,
3,F,1,65,130,86,3.93,,600,680,5.75,Y,2,10,0,44,48,35000
3,M,1,69,205,,3.5,,610,620,11,Y,10,8,4,40,52,50000
3,M,1,70,138,70,3.5,,580,540,11,Y,5,15,1,49,50,80000
3,M,1,71,185,80,3.4,,680,750,10,Y,1,39,3,50,52,50000
3,M,1,70,136,60,3.8,,680,680,11,Y,1,6,2,43,41,45000
3,F,1,63,120,80,4,,750,700,7,Y,3,10,1,48,49,40000
3,F,2,64,125,80,4,3.4,690,650,8,Y,1,29,1,50,50,50000
3,M,2,71,155,80,4,3.88,710,630,11,Y,0,14,2,49,50,40000
3,F,4,66,155,60,4,3.57,690,620,8.5,Y,0,12,1,51,52,50000
3,F,2,66,124,70,3.8,,,,8.5,Y,35,10,6,41,,48000
3,M,4,70,180,90,3.9,3.7,700,550,9.5,Y,8,20,1,52,48,70000
3,F,4,67,,50,3.9,,570,560,8.5,Y,10,8,1,53,52,40000
3,F,2,63,110,90,3.5,3.43,700,750,7.5,N,3,15,1,54,56,50000
3,F,2,66,120,70,3.7,3.6,650,660,8,Y,1,12,1,51,54,
3,F,4,67,129,60,3.98,3.67,,,7.5,Y,3,30,7,45,45,65000
3,F,3,64,140,110,4,3.5,630,800,8.5,Y,0,,1,47,48,
3,M,4,66,180,60,3,3.8,,,9,Y,8,30,3,70,73,40000
3,M,2,70,130,64,4,4,780,660,10,Y,1,12,1,50,52,50000
3,M,4,74,180,80,,,,,10.5,Y,20,48,1,58,60,20000
3,F,2,67,245,80,3.822,3.22,,,10,Y,1,22,2,55,53,
3,F,1,65,130,70,,,,,7.5,N,1,3,2,49,49,45000
3,F,1,66,125,80,4,,,,9,Y,,13,1,50,53,
3,F,4,71,,61,3.65,3.3,,,10,Y,3.5,8,4,57,63,
3,F,3,67,125,60,,2.87,,,9,Y,1,10,1,45,55,
3,M,3,72,170,78,3.4,3.1,,,12,N,0,40,0,56,60,40000
3,F,2,63,120,70,3.8,3.64,640,550,8,Y,14,14,1,51,55,30000
3,M,1,71,170,60,3.97,,600,600,12,Y,10,24,1,40,41,60000
3,F,2,67,,54,4.03,3.66,,,8.5,Y,0,23,2,51,51,35000
3,F,3,68,140,70,3.88,,,,9,Y,4,38,3,44,51,30000
3,F,2,69,150,140,4,3.3,620,660,10.5,Y,2,10,1,48,50,50000
3,F,4,69,145,60,3,,,,8.5,Y,5,11,2,55,58,42500
3,F,2,64,95,110,3.75,,620,640,6,Y,6,6,2,45,47,40000
3,F,1,63,100,120,3.2,,600,650,7.5,N,1,16,1,44,47,
3,M,2,68,150,90,3.8,3.46,650,600,10.5,Y,4,28,1,48,50,50000
3,M,2,72,157,88,3.1,4,620,630,12,N,88,15,,54,55,
3,M,4,62,175,68,3.6,2.6,520,480,7,Y,10,15,2,51,57,30000
3,F,1,64,130,48,3.9,,510,630,8,Y,1.5,8,2,46,49,
3,F,1,65,155,80,3.63,,,,8,Y,8,13,2,46,51,30000
3,M,2,71,173,80,2.7,,550,620,11,N,14,23,3,47,48,40000
3,F,5,68,150,76,3.4,,,,8.5,Y,8,25,1,55,55,
3,M,2,70,165,60,3.3,3,600,720,10,Y,5,10,1,49,50,60000
3,F,3,65.5,140,84,3,,,,8.5,Y,2.5,4,2,35,43,55000
3,F,1,64,170,48,3.67,,560,490,8.5,Y,4,7,1,55,54,
3,M,3,71,145,92,3.33,2.3,,,12,Y,4,8,2,,53,
3,M,4,73,193,76,3.67,3.3,680,610,11,Y,0.5,8,2,46,56,40000
3,M,1,67,130,60,3.2,,570,600,10.5,N,6,11,1,47,47,60000
3,F,1,70,145,66,4,,,,10.5,Y,0,6,2,53,55,75000
3,M,1,76,260,56,3,,690,540,14,N,1,47,1,49,53,70000
3,M,1,77,270,72,3,,650,650,14,Y,1,7,2,51,53,
3,M,1,70,170,60,3,,700,690,11,Y,0,5,1,48,50,80000
3,F,1,62,105,60,3.99,,,,7,Y,4,,0,46,46,30000
3,M,3,71,120,88,4.1,3.25,720,640,9,Y,5,13,1,53,55,30000
3,M,3,67,180,68,3.4,2.9,,,11.5,Y,10,18,1,56,56,40000
3,M,4,75,175,56,4,2.9,610,670,12,Y,1,7,1,,,25000
3,F,3,67,135,,1.23,2.87,,,9,N,2,4,4,53,73,
3,F,4,65,120,,3,3.3,540,700,8,Y,0,25,2,47,52,
3,F,3,68,125,110,3.9,3.4,400,800,9,Y,0,46,1,54,59,20000
3,F,3,62,106,80,3.2,2.72,610,580,7,Y,4,5,0,51,52,20000
3,F,4,69,143,110,3.98,3.58,650,600,10.5,Y,3,16,6,48,50,25000
3,F,2,67,,60,,,740,550,8,N,,7,2,45,50,
3,F,2,69,140,60,3.6,3.19,620,570,9,Y,0,7,2,44,46,30000
3,F,2,69,165,80,3.69,2.7,640,520,8.5,Y,0,13,3,48,47,
3,F,2,65,130,100,3,3.67,670,670,9,Y,1,10,2,49,,27500
3,M,2,68,165,65,3.89,,680,640,10.5,Y,10,10,1,46,49,25000
3,F,3,62,118,60,,3.57,,,7,Y,4,10,2,50,,
3,F,2,67,145,60,3.9,3.4,,,10,Y,0,,3,54,56,
3,F,2,63,125,90,3.4,3,580,650,7.5,Y,0,12,1,54,54,
3,F,4,66,,95,4,3.2,730,780,8.5,Y,3,43,2,48,50,
3,F,3,71,145,,3.95,3.2,650,500,10.5,,4,40,1,54,55,30000
3,F,2,63,160,90,3.4,2.8,,,8.5,Y,1.5,9,1,52,55,65000
3,M,3,73,185,60,3.987,3.33,660,620,10,Y,14,13,1,48,48,
3,M,2,69,176,90,,,580,700,11,N,5,40,3,48,53,20000
3,F,,65,145,60,3.9,3.8,,,8.5,Y,2,9,1,52,47,
3,M,3,73,160,90,3.1,2.9,700,740,13,Y,8,8,1,56,,30000
3,F,2,69,150,70,3.96,3,720,690,9,Y,5,3,0,57,55,30000
3,F,2,65,136,70,3.36,3.2,,,10,Y,7,25,3,53,54,45000
3,F,3,69,150,,3.9,3.1,,,7.5,N,4,42,1,55,60,
3,F,2,63,130,70,3.4,3.2,,,8,N,6,25,3,50,51,
3,M,1,73,150,64,3.6,,540,700,12,Y,3,30,1,46,46,30000
3,M,4,69,165,82,,3,610,760,9.5,Y,10,37,1,48,49,35000
3,M,2,65,140,72,3.2,,,,9,N,4,15,2,56,53,25000
3,M,1,68,165,72,3.4,,,,11,Y,2,7,2,47,48,
3,M,2,75,185,66,3.5,3,720,620,14,Y,5,8,1,61,62,40000
3,M,4,74,200,66,3.6,3.2,,,13,Y,2,15,2,48,50,70000
3,M,1,72,,90,,,650,730,12.5,Y,1,24,5,,,50000
3,M,1,69,125,72,3.5,,,,9,N,3,25,1,50,50,35000
3,M,1,69,190,84,3.3,,610,590,11,N,6,20,1,45,49,40000
3,M,1,66,140,66,4,,640,660,8.5,Y,1,15,1,55,50,40000
3,F,1,66,128,54,3.9,,710,610,9,Y,1,,1,50,50,30000
3,F,1,65,127,90,3.8,,520,680,7.5,Y,0,7,1,43,43,
3,M,5,72,180,78,3.95,3,680,720,9,Y,15,15,1,48,55,30000
3,M,1,73,201,90,3.2,,600,540,13,Y,10,8,5,45,55,80000
3,M,2,75,185,72,3.4,2.9,650,660,12,Y,4,35,2,44,49,40000
3,F,3,,112,86,,,,,5.5,Y,12,15,2,46,50,40000
3,M,4,74,200,72,4.6,3.5,680,600,12,Y,10,9,1,53,55,40000
3,F,2,,,84,3.5,,560,680,9,,7,35,1,44,48,
3,M,2,70,200,78,3,,620,560,11,N,7,11,0,53,53,40000
3,M,2,78,218,96,3.9,3.71,670,590,15,Y,25,23,1,53,58,40000
3,F,1,67,140,60,3.925,,,,8,Y,3,15,4,50,52,35000
3,F,1,65,135,90,3.9,,,,7.5,Y,5,8,1,48,48,60000
3,F,1,62,120,84,3.75,,600,700,8,Y,0,20,1,51,51,19000
3,M,2,66,135,72,3.2,,560,540,9,Y,0,4,2,50,51,50000
3,M,1,72,200,72,3.7,,690,740,13,Y,1,12,3,47,47,30000
3,M,1,69,170,90,3.4,,540,550,10.5,Y,2,10,1,45,45,
3,F,1,66,146,66,3.8,,550,550,8.5,Y,14,6,1,56,60,
3,M,1,67,139,90,3.72,,590,570,8.5,Y,0,10,1,40,45,35000
3,M,1,70,155,72,3.75,,760,710,11,Y,10,34,2,42,42,80000
3,F,1,63.5,120,90,3,,590,580,8.5,N,0.5,15,2,47,51,40000
3,M,1,73,155,78,3.3,,,,11.5,Y,4,11,1,,,32500
3,F,1,63,110,90,4,,540,510,7.5,Y,,3,3,46,,40000
3,F,4,62,170,72,3.6,3.65,690,690,11,Y,4,17,1,55,67,25000
3,M,4,70,140,114,3.72,2,780,800,11,Y,0,11,3,52,53,28000
3,M,1,70,160,,3.1,3.4,600,780,11,N,1,17,1,51,54,
3,M,1,67,120,72,3,,570,570,8.5,N,10,8,1,50,54,40000
3,M,1,72,247,78,4,,600,690,14,Y,7,5,2,48,53,50000
3,M,1,71,170,,3,,550,510,,N,4,30,1,50,51,
3,F,1,60,125,72,3.5,,570,600,6.5,Y,1,42,2,44,43,
3,F,1,65,135,,3.8,,,,8,Y,3,,2,,60,
3,M,1,71.25,170,90,3.86,,570,570,11.5,Y,0,8,3,53,52,50000
3,M,1,73,260,78,2.65,,550,550,12,N,8.5,30,2,52,53,65000
3,F,1,67,128,90,4,,440,500,8.25,Y,1.5,13.5,1,53,54,
3,M,1,70,175,72,3.7,,590,710,11,Y,2,12,3,52,54,40000
3,F,1,61,112,60,3.98,,670,680,7.5,Y,3.5,19,1,51,56,
3,F,1,62,115,80,3.9,,650,620,7.5,Y,4,14,1,52,49,20000
3,M,1,63,150,,2.9,,650,690,10,Y,1,,2,44,43,
3,F,3,68,140,100,3.8,3.54,,,10,Y,1,33,1,54,55,20000
3,F,1,67,125,,3.96,,570,590,10,Y,2,7,2,46,49,20000
3,F,3,62,105,76,3.92,3.8,680,680,7.5,Y,2,46,3,49,49,50000
3,F,1,68,174,72,3.78,,,,8.5,Y,4,12,1,48,52,40000
3,M,1,75,200,60,3.4,,550,450,13,Y,4,32,2,51,52,40000
3,F,1,63,110,102,3.6,,,,6,N,,12,1,52,53,
3,M,4,76,220,,3.5,3.1,,,13,N,1,20,3,54,55,35000
3,F,1,64.375,134,,3.8,,,,8.5,Y,5,17,3,45,43,30000
3,F,1,67,160,116,3.3,,,,8,N,1,10,1,51,47,
3,M,1,70,170,68,3.8,,510,590,10.5,Y,1,25,4,55,50,50000
3,F,1,64,125,67,3.83,,,,7.5,Y,2,19,1,54,54,
3,F,1,67,145,118,3.85,,584,,7.5,Y,1,28,2,47,56,
3,F,1,64,107,96,3.8,,,,10,Y,1,7,3,43,63,
3,F,1,69,140,84,3.7,,530,600,9,N,4,15,1,48,48,40000
3,M,2,71,185,80,3.91,2,670,490,12,Y,15,10,7,49,53,40000
3,M,1,68,165,,3.4,,550,510,10.5,Y,5,8,3,48,52,57000
3,F,1,60,125,60,3.96,,630,590,6.25,Y,0.5,7,3,55,56,27000
3,F,1,62,170,84,3.4,,460,740,6.5,Y,0,12,1,48,50,18000
3,M,1,68,152,,3.51,,500,740,10.5,Y,3,8,0,51,53,
3,M,1,74,180,78,3.4,,,,12,Y,0.75,23,4,48,48,20000
3,F,3,68,142,,3.9,3.9,540,610,9,Y,1,10,1,52,52,30000
3,M,2,73,180,80,3.8,,540,610,14,Y,3,34,2,48,48,50000
3,M,1,74,165,84,3.48,,690,690,9,Y,1,13,1,52,52,18720
3,M,1,69,180,74,3.9,,720,700,11.5,Y,2,16,3,53,54,30000
3,F,1,71,165,,3.89,,650,620,10,Y,2,10,2,47,47,80000
3,M,1,70,190,66,2.1,,750,380,10.5,Y,2,10,1,47,42,12000
3,F,1,67,115,80,3.25,,,,7.5,N,2,5,1,54,68,20000
3,F,1,66,115,,3.9,,540,530,7,Y,1,24,2,42,42,20000
3,F,3,68,130,60,3.5,,620,610,9,N,4,8,2,58,57,80000
3,M,1,71,150,60,3.759,,600,690,9.5,Y,0,16,1,48,50,50000
3,F,1,67,118,80,3.75,,500,640,7.5,Y,1,35,3,40,47,25000
3,M,1,74,165,64,3.6,,620,710,13,Y,1,33,1,50,53,23000
3,F,1,64,125,84,3.96,,590,600,7,Y,10,5,1,50,53,20000
3,F,1,62,93,,3.4,,650,730,5,Y,2,4,1,48,52,50000
3,F,1,66,134,96,3.7,,530,640,8,Y,2,6,2,56,46,40000
3,F,1,63,105,44,3.7,,580,740,8,Y,10,11,1,50,50,
3,F,1,62,130,80,3.7,,560,560,5.5,Y,1,9,3,53,62,30000
3,F,1,68,200,75,3.6,,600,700,10,Y,1,10,2,45,50,30000
3,F,1,64.25,119,,3.3,,610,590,8,Y,0,13,1,53,54,15000
3,F,1,64,125,,3.89,,650,680,7,Y,12,27,1,50,49,
3,M,1,74,180,70,3.8,,700,690,12,Y,1,12,0,54,52,50000
3,F,1,64,125,,3.896,,670,540,7,Y,2,3,5,50,49,75000
3,M,1,74.5,190,,2.9,,650,700,12,N,1,9,1,53,52,50000
3,M,1,70,160,,3.5,,690,720,11,Y,1,17,1,49,49,12000
3,F,1,63,140,78,4,,610,760,6,Y,0,12,1,48,48,
3,M,3,78,220,68,3.7,2.6,650,670,13,N,0,14,1,48,48,50000
4,F,1,,118,50,3.6,,510,640,8.5,Y,2.5,23,1,47,52,
4,F,1,69,148,72,3.6,2.8,,,7.5,Y,0.5,22,0,49,53,10000
4,M,1,69,170,72,3.5,2.57,620,590,11,Y,5,6,6,52,56,36000
4,F,2,66,130,,3.4,3.2,600,500,7.5,Y,3.5,15,1,52,48,40000
4,F,2,66,,,3.2,2.92,,,7,Y,,49,2,55,56,75000
4,M,1,77,185,,,3.08,,,13,N,0,18,1,51,52,28000
4,F,1,69,,,3.9,3.67,,790,9.5,Y,0,27,5,56,55,23000
4,M,1,75,195,84,3.95,3.84,680,670,12,Y,3,15,2,49,52,40000
4,M,3,64,125,88,3.6,2.5,620,500,9,Y,3,6,2,48,48,20000
4,F,1,58.5,135,78,3.83,3.3,570,580,7.5,Y,0,11,7,47,49,
4,M,1,72,195,,3.8,3,530,570,11.5,Y,10,9,4,42,45,50000
4,M,1,68,135,50,3,2,710,670,10,N,4,12,1,51,49,40000
4,F,3,,,,3.6,,,,9,Y,2,,5,49,54,
4,M,1,67,155,65,3.7,2,570,520,9,N,0.5,5,0,49,50,15000
4,F,1,64.5,130,,3.67,2.9,520,519,8.5,N,2,13,2,50,55,
4,F,1,68,158,60,3.85,4,540,670,7.5,Y,2,5,3,35,35,35000
4,M,1,71,153,40,3.33,,650,580,12,Y,0.5,6,1,36,,45000
4,F,2,63,115,,3.9,3.2,,,8.5,Y,0,48,2,50,51,30000
4,M,1,76,260,60,3.7,2.7,630,630,14,Y,2,15,3,51,52,60000
4,F,2,67,154.5,,3.776,,,,10,Y,3,3,2,52,55,30000
4,F,1,66,135,90,3.99,3.83,730,770,7,Y,4,20,0,49,47,40000
4,M,1,67,155,66,3.4,3.4,720,560,9.5,Y,3,5,1,51,55,37000
4,F,3,62,,,,3.75,,,6.5,Y,2.5,30,1,53,54,
4,F,2,66,150,130,4,3.3,,,9,Y,,13,2,45,53,
4,M,1,73,190,,3.29,3.09,720,730,11,N,1,7,2,47,49,
4,M,2,70,155,40,3.1,3.27,600,600,10,Y,5,32,2,55,55,50000
4,M,1,71,190,,3.98,3.78,650,610,11.5,Y,1,11,3,44,46,50000
4,M,3,68,170,,4,3,580,580,10,Y,6,35,1,57,56,40000
4,F,2,61,103,,3.98,3.24,560,560,7,Y,4,5,2,53,55,
4,M,1,72,170,,3.6,2.08,480,470,11,Y,1.5,32,2,55,56,42000
4,F,1,68,147,,3.4,2.7,600,600,8,Y,3,22,1,39,43,40000
4,F,1,63,107,68,3.98,3.68,,,8,Y,0,5,1,48,45,37500
4,F,2,69,180,75,3.92,2.75,620,630,12,Y,3,6,1,54,54,
4,M,2,69,145,91,3.86,2.97,750,680,8,Y,12,20,1,50,49,50000
4,F,1,63,123,,3.7,,580,570,6.5,Y,2,12,1,52,56,
4,F,2,64,130,72,4.2,3.6,770,610,8.5,Y,4,12,2,56,56,30000
4,M,1,68,145,,3.49,3.33,510,700,9,Y,2.5,8,1,,51,
4,F,1,66,125,64,4,3.33,570,650,10.5,Y,5,11,1,60,60,70000
4,F,1,68,115,,3.94,3.5,,,5,Y,0,13,0,50,55,35000
4,F,1,65,140,,3.91,3.95,590,630,7,Y,2.5,8,1,49,53,3000
4,M,2,73,175,68,3.4,,,,10.5,N,0,21,1,45,53,45000
4,F,2,63,115,90,3.76,,,,6,Y,3,15,7,61,,42000
4,F,1,66,,,3.8,,,,8,Y,14,5,3,51,61,30000
4,M,2,71,120,,3.5,3.2,680,560,9,Y,4,12,0,55,54,20000
4,M,1,74,120,,3.67,3.67,550,640,6.5,Y,2,18,1,50,53,26000
4,M,1,74,175,,3.2,2.96,560,550,11,N,3,30,1,55,54,30000
4,F,2,66,135,,3.67,2.87,,,8,Y,5,7,1,52,54,
4,M,1,72,150,,3.88,3.38,,,10.5,Y,4,30,2,46,48,30000
4,F,4,67,120,,,,,,8.5,Y,0,,1,51,61,
4,M,1,72,185,,3.9,2.75,,,10.5,N,2,6,1,52,50,10000
4,M,4,71,185,74,2.6,2.8,750,790,10.5,Y,6,10,1,45,52,30000
4,F,1,65,155,,3.725,,420,640,5,Y,4,4,6,48,,
4,M,2,71,165,54,3.5,3.2,600,650,10,Y,10,12,1,48,50,70000
4,F,2,63,130,70,3.5,3.12,500,720,8,Y,1,15,1,46,47,22000
4,F,2,64,140,60,3.6,,,,7.5,Y,6,8,3,43,43,40000
4,F,2,64,135,,3.8,3.3,550,670,7,Y,3.5,,1,45,52,70000
4,F,2,64,185,,3.98,3.22,690,650,8.5,Y,10,10,3,45,52,50000
4,M,1,69,175,,3.95,2.83,,,12,Y,5,,4,42,51,40000
4,M,1,70,173,78,3.3,2.9,520,570,9,Y,2,13,1,54,51,
4,M,1,69,218,,3.5,3,520,500,11,N,5,4,1,45,45,
4,M,1,65,120,,3.7,,670,540,9,Y,1,,1,51,47,60000
4,M,1,70,160,,3.3,,600,660,10,N,2,7,1,53,52,60000
4,M,1,76,185,,3.45,2.5,660,520,12.5,Y,1,8,1,52,53,20000
4,M,1,71,150,,3.4,,,,10.5,N,0,17,2,54,65,
4,F,1,66,140,,3.6,,,,7.5,Y,0,10,2,52,52,30000
4,F,1,63,125,71,3.5,2.85,460,570,5,Y,0,35,1,54,58,40000
4,M,1,68,185,,3.8,3.17,620,680,11,Y,6,12,2,46,46,2000
4,M,2,71,171,,2.5,,,,,Y,48,10,1,,,
4,M,1,69,185,,3.3,3.2,570,690,11,Y,4.5,18,2,39,47,
4,F,1,61,,,3.83,,590,610,8,Y,3,8,0,59,,
4,M,1,74,280,,3.89,2.8,600,690,14,Y,2,10,1,52,62,40000
4,M,2,74,250,92,3.7,3.6,,,13,Y,8,3,5,48,49,25000
4,M,3,73,225,84,3.45,3.28,570,640,12,N,2,10,2,54,56,30000
4,F,1,68,155,,3.8,3.75,500,700,10,Y,1.5,25,5,48,62,25000
4,M,1,72,230,,,2.04,600,610,10.5,N,2.5,32,3,49,57,27500
4,M,1,74,165,,3.8,2.9,550,550,12,Y,5,7,2,48,57,50000
4,M,1,67,130,,3.7,3.5,760,610,9,Y,1,14,1,47,48,80000
4,M,1,70,235,,3.6,3.08,,,10,N,,20,2,50,50,110000
4,F,2,65,150,60,3.8,3.6,,,7,Y,5,25,1,53,53,20000
4,M,1,70,167,70,3.98,3.59,,,9.5,Y,4,6,1,46,47,15000
4,F,1,68,135,90,,,620,640,8.5,N,0,11,2,48,47,
4,M,1,71,175,70,3.985,3.67,720,510,10,Y,5,14,1,49,48,40000
4,M,2,72,195,90,3.8,3.2,720,620,13,Y,8,20,1,56,64,
4,M,1,72,175,80,3.7,3.17,700,660,11,Y,1,30,1,48,51,30000
4,F,1,62,120,150,3.9,3.45,,,7,Y,2,5,2,49,48,12000
4,F,1,66,156,110,3.9,3.17,580,560,8.5,Y,1,15,2,54,54,25000
4,F,1,66,155,100,3.9,2.9,700,500,9,Y,1,30,4,50,55,30000
4,F,1,64,128,80,4,3.67,570,640,6.5,Y,10,18,1,45,48,30000
